MMS Id,Permanent Call Number,Library Name,Location Name,Base Status,Title,Description,Barcode,Scanned Barcode,Retention Commitment,Notes
993774520101921,+ BX850 .A32,Main Library,Stacks,Item in place,Acta Apostolicae Sedis; commentarium officiale.,v. 70 Ian.-Iun. 1978,0123500583596,39097014383807,,
993774520101921,+ BX850 .A32,Main Library,Stacks,Item in place,Acta Apostolicae Sedis; commentarium officiale.,v. 70 Iul.-Dec. 1978,0123500583604,39097014383815,,
998389400101921,+ BX850 .A32,Main Library,Stacks,Item in place,Acta Apostolicae Sedis; commentarium officiale.,v. 71 Ian.-Apr. 1979,0123500583612,39097014383823,,
9911216230101921,+ BX850 .A32,Main Library,Stacks,Item in place,Acta Apostolicae Sedis; commentarium officiale.,v. 71 Mai.-Aug. 1979,0123500583620,39097014383831,,
995227940101921,+ BX850 .A32,Main Library,Stacks,Item in place,Acta Apostolicae Sedis; commentarium officiale.,v. 71 Sept.-Dec. 1979,0123500583638,39097014383849,,
993205650101921,+ BX850 .A32,Main Library,Stacks,Item in place,Acta Apostolicae Sedis; commentarium officiale.,v. 72 Ian.-Iul. 1980,0123500583646,39097014383856,,
996748240101921,+ BX850 .A32,Main Library,Stacks,Item in place,Acta Apostolicae Sedis; commentarium officiale.,v. 72 Sept.-Dec. 1980,0123500583653,39097014383864,,
993074960101921,+ DS113.8.Y4 A632,Main Library,Stacks,Item in place,Afiá¸³im.,no.95-96(1990:Sept.); no.113-114(1998:July); no.115-116(1999-May) - in box,B2051027,39097014663497,,
993862820101921,+ DS133 .A44,Main Library,Stacks,Item in place,Allgemeine Zeitung des Judenthums.,v.12,0123500758040,39097014663737,,
993862820101921,+ DS133 .A44,Main Library,Stacks,Item in place,Allgemeine Zeitung des Judenthums.,v.11,0123500758032,39097014663745,,
993862820101921,+ DS133 .A44,Main Library,Stacks,Item in place,Allgemeine Zeitung des Judenthums.,v.10,0123500758024,39097014663752,,
993862820101921,+ DS133 .A44,Main Library,Stacks,Item in place,Allgemeine Zeitung des Judenthums.,v.1,0123500758784,39097014663760,,
993862820101921,+ DS133 .A44,Main Library,Stacks,Item in place,Allgemeine Zeitung des Judenthums.,v.2,0123500757935,39097014663851,,
993862820101921,+ DS133 .A44,Main Library,Stacks,Item in place,Allgemeine Zeitung des Judenthums.,v.20,0123500758123,39097014663869,,
993862820101921,+ DS133 .A44,Main Library,Stacks,Item in place,Allgemeine Zeitung des Judenthums.,v.21,0123500758131,39097014663877,,
993862820101921,+ DS133 .A44,Main Library,Stacks,Item in place,Allgemeine Zeitung des Judenthums.,v.22,0123500758149,39097014663885,,
993862820101921,+ DS133 .A44,Main Library,Stacks,Item in place,Allgemeine Zeitung des Judenthums.,v.23,0123500758156,39097014663893,,
993831190101921,+ DS133 .A44,Main Library,Stacks,Item in place,Allgemeine Zeitung des Judenthums.,v.24,0123500758164,39097014663901,,
993862820101921,+ DS133 .A44,Main Library,Stacks,Item in place,Allgemeine Zeitung des Judenthums.,v.19,0123500758115,39097014663919,,
993862820101921,+ DS133 .A44,Main Library,Stacks,Item in place,Allgemeine Zeitung des Judenthums.,v.18,0123500758099,39097014663927,,
993862820101921,+ DS133 .A44,Main Library,Stacks,Item in place,Allgemeine Zeitung des Judenthums.,v.16,0123500758081,39097014663935,,
993862820101921,+ DS133 .A44,Main Library,Stacks,Item in place,Allgemeine Zeitung des Judenthums.,v.15,0123500758073,39097014663943,,
993862820101921,+ DS133 .A44,Main Library,Stacks,Item in place,Allgemeine Zeitung des Judenthums.,v.14,0123500758065,39097014663950,,
993862820101921,+ DS133 .A44,Main Library,Stacks,Item in place,Allgemeine Zeitung des Judenthums.,v.13,0123500758057,39097014663968,,
993831190101921,+ DS133 .A44,Main Library,Stacks,Item in place,Allgemeine Zeitung des Judenthums.,v.25,0123500758172,39097014663976,,
993831190101921,+ DS133 .A44,Main Library,Stacks,Item in place,Allgemeine Zeitung des Judenthums.,v.26,0123500758180,39097014663984,,
993831190101921,+ DS133 .A44,Main Library,Stacks,Item in place,Allgemeine Zeitung des Judenthums.,v.27,0123500758198,39097014663992,,
993831190101921,+ DS133 .A44,Main Library,Stacks,Item in place,Allgemeine Zeitung des Judenthums.,v.28,0123500758206,39097014664008,,
993831190101921,+ DS133 .A44,Main Library,Stacks,Item in place,Allgemeine Zeitung des Judenthums.,v.29,0123500758214,39097014664016,,
